Turn,Region,Start_Date,NDVI,Soil_Root_Pct,Soil_Surface_Pct,LST_Day_C
1,Netherlands,2024-03-21,0.8846,46.5,44.7,14.730000000000018
2,Netherlands,2024-04-06,0.9035,46.1,44.2,14.133333333333363
3,Netherlands,2024-04-22,0.8679,45.3,43.4,19.00000000000002
4,Netherlands,2024-05-08,0.7079,44.3,42.6,27.05000000000001
5,Netherlands,2024-05-24,0.8319,44.5,42.8,19.430000000000007
6,Netherlands,2024-06-09,0.8379,43.2,41.9,28.115000000000023
7,Netherlands,2024-06-25,0.6178,41.1,39.3,28.30500000000002
8,Netherlands,2024-07-11,0.864,40.6,38.8,25.832857142857172
9,Netherlands,2024-07-27,0.8434,37.7,33.6,29.419090909090936
10,Netherlands,2024-08-12,0.8172,35.6,33.6,27.55571428571431
11,Netherlands,2024-08-28,0.865,34.5,32.9,27.82111111111114
12,Netherlands,2024-09-13,0.7942,34.5,33.5,25.398000000000014
13,Netherlands,2024-09-29,0.7966,35.4,34.9,13.980000000000018
14,Netherlands,2024-10-15,0.8424,35.8,35.3,14.79285714285716
15,Netherlands,2024-10-31,0.8853,35.3,33.7,11.200000000000017
16,Netherlands,2024-11-16,0.8185,37.9,38.5,5.903333333333364
